ObsTime,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,T Max,T Max Time,T Min,T Min Time,RHMin,RHMinTime,WSGust,WDGust,WGustTime,Precp,GloblRad
1,1017,2024/2/1 09:17,1012.7,2024/2/1 16:11,29.4,2024/2/1 12:21,16.8,2024/2/1 05:39,52,2024/2/1 12:05,4.6,138,2024/2/1 13:03,0,13.2
2,1016.8,2024/2/2 21:42,1013.2,2024/2/2 04:22,26.8,2024/2/2 11:27,20,2024/2/2 22:29,67,2024/2/2 13:04,4.1,318,2024/2/2 13:29,5,6.8
3,1017.5,2024/2/3 08:54,1013.3,2024/2/3 14:29,25.8,2024/2/3 12:56,19.7,2024/2/3 04:02,77,2024/2/3 12:50,3.6,75,2024/2/3 13:19,3,7.7
4,1016.3,2024/2/4 09:05,1011,2024/2/4 14:51,26.9,2024/2/4 12:31,19.8,2024/2/4 04:04,72,2024/2/4 12:13,3.3,194,2024/2/4 20:03,0.5,8
5,1019.5,2024/2/5 21:03,1012.2,2024/2/5 00:03,21.4,2024/2/5 00:01,17.2,2024/2/5 23:38,98,2024/2/5 03:44,5.3,62,2024/2/5 09:23,8,1.9
6,1019.5,2024/2/6 09:17,1014.7,2024/2/6 15:17,22.7,2024/2/6 11:54,16.8,2024/2/6 03:52,74,2024/2/6 11:33,3.3,32,2024/2/6 12:54,0.5,6.8
7,1015.4,2024/2/7 00:01,1009.7,2024/2/7 15:23,22.9,2024/2/7 10:42,16.5,2024/2/7 05:27,81,2024/2/7 11:03,6.1,68,2024/2/7 16:40,0,4.4
8,1015.6,2024/2/8 21:58,1011.4,2024/2/8 04:03,21,2024/2/8 14:16,15.5,2024/2/8 06:40,73,2024/2/8 14:17,2.8,16,2024/2/8 14:51,13.5,6.3
9,1020.4,2024/2/9 22:17,1014.5,2024/2/9 01:48,19.1,2024/2/9 12:00,14.3,2024/2/9 23:45,72,2024/2/9 12:27,5.6,9,2024/2/9 12:19,7,5.2
10,1023.6,2024/2/10 21:42,1019,2024/2/10 02:50,15.7,2024/2/10 14:12,13.4,2024/2/10 23:59,75,2024/2/10 13:27,2.2,253,2024/2/10 14:36,1,2.2
11,1026,2024/2/11 09:44,1021.8,2024/2/11 03:38,22.2,2024/2/11 12:54,9.9,2024/2/11 06:51,39,2024/2/11 12:55,5.8,106,2024/2/11 12:31,0,15
12,1026,2024/2/12 09:09,1021.9,2024/2/12 15:26,22.7,2024/2/12 11:36,11.1,2024/2/12 00:40,45,2024/2/12 11:34,3.1,21,2024/2/12 13:18,0,8.6
13,1023.1,2024/2/13 00:12,1017.9,2024/2/13 15:29,26.7,2024/2/13 12:52,12.9,2024/2/13 23:49,38,2024/2/13 12:27,4.5,179,2024/2/13 12:36,0,15.2
14,1019.5,2024/2/14 08:10,1014.4,2024/2/14 17:01,28,2024/2/14 14:07,11.5,2024/2/14 05:42,39,2024/2/14 12:02,4.9,154,2024/2/14 14:54,0,19.3
15,1016.5,2024/2/15 08:08,1012.3,2024/2/15 15:10,27.9,2024/2/15 13:22,13.5,2024/2/15 05:46,50,2024/2/15 10:47,4.7,147,2024/2/15 14:09,0,16.1
16,1018.7,2024/2/16 09:54,1015.4,2024/2/16 02:47,20.8,2024/2/16 13:38,17.2,2024/2/16 20:57,73,2024/2/16 14:33,3.9,357,2024/2/16 00:05,0,4.6
17,1016.1,2024/2/17 00:01,1012.4,2024/2/17 15:00,25.7,2024/2/17 13:12,16.5,2024/2/17 05:11,64,2024/2/17 13:09,4.1,13,2024/2/17 12:25,0.5,13.8
18,1015.1,2024/2/18 09:39,1011.1,2024/2/18 16:12,28.8,2024/2/18 12:03,18.1,2024/2/18 04:00,59,2024/2/18 12:07,5,144,2024/2/18 12:21,0,12.2
19,1014.6,2024/2/19 09:14,1011.1,2024/2/19 17:19,29,2024/2/19 10:47,18.9,2024/2/19 04:21,54,2024/2/19 10:48,3.1,98,2024/2/19 13:21,0,13
20,1014.3,2024/2/20 08:32,1010.6,2024/2/20 15:00,29.9,2024/2/20 11:46,19.6,2024/2/20 06:29,61,2024/2/20 10:42,6.6,144,2024/2/20 13:17,0,17.6
21,1015.2,2024/2/21 08:54,1009.6,2024/2/21 16:20,29.8,2024/2/21 12:53,18.1,2024/2/21 06:25,54,2024/2/21 10:45,6.3,150,2024/2/21 15:28,0,18.6
22,1015.9,2024/2/22 21:56,1012.3,2024/2/22 02:32,29.9,2024/2/22 11:50,19.3,2024/2/22 06:38,59,2024/2/22 10:58,5.2,190,2024/2/22 13:28,9,15.1
23,1020,2024/2/23 10:56,1015.3,2024/2/23 02:11,20.1,2024/2/23 13:42,16.4,2024/2/23 05:39,82,2024/2/23 15:28,5.4,35,2024/2/23 03:59,5.5,5.2
24,1019.4,2024/2/24 08:47,1016.2,2024/2/24 15:05,20.2,2024/2/24 10:22,17.5,2024/2/24 01:14,81,2024/2/24 11:33,3.3,74,2024/2/24 14:25,0.5,3.4
25,1019.5,2024/2/25 21:11,1016.1,2024/2/25 03:53,17.7,2024/2/25 00:41,14.2,2024/2/25 23:20,90,2024/2/25 13:42,4.3,69,2024/2/25 10:45,2.5,3.1
26,1020.8,2024/2/26 08:55,1016.3,2024/2/26 15:44,17.5,2024/2/26 12:02,14,2024/2/26 02:07,80,2024/2/26 11:32,2.3,42,2024/2/26 13:03,0.5,3.6
27,1019.5,2024/2/27 09:19,1016.2,2024/2/27 15:22,19,2024/2/27 10:12,14.9,2024/2/27 01:01,80,2024/2/27 10:29,2.6,77,2024/2/27 12:21,0,3.4
28,1017.8,2024/2/28 00:01,1011.6,2024/2/28 15:29,25.6,2024/2/28 11:49,15.3,2024/2/28 06:26,60,2024/2/28 11:50,3.4,160,2024/2/28 14:02,0,12.4
29,1015.3,2024/2/29 00:01,1010.1,2024/2/29 15:47,28.2,2024/2/29 13:11,18.3,2024/2/29 02:29,57,2024/2/29 13:12,5.5,7,2024/2/29 14:50,4,11.8
